rowid,Name,IsFirst,PostSide,Pool,Result,Enemy
106,Labrynth,True,False,0,1,SnakeEyes
107,Labrynth2,True,False,0,0,SnakeEyes
108,SnakeEyes,False,False,0,1,Labrynth2
109,SnakeEyes,False,True,0,1,SnakeEyes
110,SnakeEyes,True,True,0,0,SnakeEyes
111,SnakeEyes,True,False,0,1,Tenpai
112,Tenpai,False,False,0,0,SnakeEyes
113,SnakeEyes,False,True,0,0,Labrynth
114,Labrynth,True,True,0,1,SnakeEyes
115,SnakeEyes,True,True,0,0,Tenpai
116,Tenpai,False,True,0,1,SnakeEyes
117,SnakeEyes,True,True,0,0,SnakeEyes
118,SnakeEyes,False,True,0,1,SnakeEyes
119,SnakeEyes,True,False,0,1,SnakeEyes
120,SnakeEyes,False,False,0,0,SnakeEyes
121,SnakeEyes,True,True,0,1,Tenpai
122,Tenpai,False,True,0,0,SnakeEyes
123,SnakeEyes,True,True,0,1,Labrynth2
124,Labrynth2,False,True,0,0,SnakeEyes
125,SnakeEyes,False,False,0,0,Labrynth
126,Labrynth,True,False,0,1,SnakeEyes
127,Tenpai,False,False,0,0,SnakeEyes
128,SnakeEyes,True,False,0,1,Tenpai
129,Labrynth2,False,False,0,1,SnakeEyes
130,SnakeEyes,True,False,0,0,Labrynth2
131,SnakeEyes,True,True,0,0,SnakeEyes
132,SnakeEyes,False,True,0,1,SnakeEyes
133,SnakeEyes,False,True,0,0,Labrynth
134,Labrynth,True,True,0,1,SnakeEyes
135,SnakeEyes,False,True,0,1,SnakeEyes
136,SnakeEyes,True,True,0,0,SnakeEyes
137,Tenpai,False,True,0,1,SnakeEyes
138,SnakeEyes,True,True,0,0,Tenpai
139,Labrynth2,True,True,0,0,SnakeEyes
140,SnakeEyes,False,True,0,1,Labrynth2
141,SnakeEyes,True,True,0,1,Tenpai
142,Tenpai,False,True,0,0,SnakeEyes
143,SnakeEyes,False,False,0,0,Labrynth
144,Labrynth,True,False,0,1,SnakeEyes
145,SnakeEyes,True,False,0,0,SnakeEyes
146,SnakeEyes,False,False,0,1,SnakeEyes
147,SnakeEyes,True,False,0,1,Tenpai
148,Tenpai,False,False,0,0,SnakeEyes
149,SnakeEyes,False,True,0,1,SnakeEyes
150,SnakeEyes,True,True,0,0,SnakeEyes
151,Tenpai,False,True,0,1,SnakeEyes
152,SnakeEyes,True,True,0,0,Tenpai
153,Labrynth2,False,True,0,0,SnakeEyes
154,SnakeEyes,True,True,0,1,Labrynth2
155,SnakeEyes,False,True,0,0,Labrynth
156,Labrynth,True,True,0,1,SnakeEyes
157,SnakeEyes,False,True,0,0,SnakeEyes
158,SnakeEyes,True,True,0,1,SnakeEyes
159,Tenpai,False,True,0,0,SnakeEyes
160,SnakeEyes,True,True,0,1,Tenpai
161,SnakeEyes,True,False,0,1,Tenpai
162,Tenpai,False,False,0,0,SnakeEyes
163,SnakeEyes,True,True,0,0,Tenpai
164,Tenpai,False,True,0,1,SnakeEyes
165,SnakeEyes,True,False,0,1,SnakeEyes
166,SnakeEyes,False,False,0,0,SnakeEyes
167,Labrynth,True,False,0,0,SnakeEyes
168,SnakeEyes,False,False,0,1,Labrynth
169,Labrynth2,False,False,0,0,SnakeEyes
170,SnakeEyes,True,False,0,1,Labrynth2
171,Tenpai,False,True,0,0,SnakeEyes
172,SnakeEyes,True,True,0,1,Tenpai
173,Tenpai,False,False,0,0,SnakeEyes
174,SnakeEyes,True,False,0,1,Tenpai
175,Labrynth2,False,True,0,0,SnakeEyes
176,SnakeEyes,True,True,0,1,Labrynth2
177,Labrynth,False,True,0,1,SnakeEyes
178,SnakeEyes,True,True,0,0,SnakeEyes
179,SnakeEyes,False,True,0,1,SnakeEyes
180,SnakeEyes,True,True,0,0,Labrynth
181,Tenpai,False,True,0,0,SnakeEyes
182,SnakeEyes,True,True,0,1,Tenpai
183,SnakeEyes,True,True,0,0,SnakeEyes
184,SnakeEyes,False,True,0,1,SnakeEyes
185,Labrynth,True,True,0,0,SnakeEyes
186,SnakeEyes,False,True,0,1,Labrynth
187,SnakeEyes,True,False,0,1,Tenpai
188,Tenpai,False,False,0,0,SnakeEyes
189,SnakeEyes,True,True,0,1,Tenpai
190,Tenpai,False,True,0,0,SnakeEyes
191,SnakeEyes,True,False,0,0,SnakeEyes
192,SnakeEyes,False,False,0,1,SnakeEyes
193,SnakeEyes,True,False,0,0,Labrynth2
194,Labrynth2,False,False,0,1,SnakeEyes
195,Tenpai,False,False,0,0,SnakeEyes
196,SnakeEyes,True,False,0,1,Tenpai
197,SnakeEyes,True,False,0,0,Labrynth
198,Labrynth,False,False,0,1,SnakeEyes
199,SnakeEyes,True,True,0,1,SnakeEyes
200,SnakeEyes,False,True,0,0,SnakeEyes
201,SnakeEyes,False,True,0,1,Labrynth2
202,Labrynth2,True,True,0,0,SnakeEyes
203,SnakeEyes,True,True,0,0,Tenpai
204,Tenpai,False,True,0,1,SnakeEyes
205,Labrynth,True,True,0,1,SnakeEyes
206,SnakeEyes,False,True,0,0,Labrynth
207,Tenpai,False,True,0,0,SnakeEyes
208,SnakeEyes,True,True,0,1,Tenpai
209,SnakeEyes,False,False,0,1,SnakeEyes
210,SnakeEyes,True,False,0,0,SnakeEyes
211,SnakeEyes,True,False,0,1,Tenpai
212,Tenpai,False,False,0,0,SnakeEyes
213,SnakeEyes,False,False,0,0,Labrynth
214,Labrynth,True,False,0,1,SnakeEyes
215,Labrynth2,False,True,0,1,SnakeEyes
216,SnakeEyes,True,True,0,0,Labrynth2
217,SnakeEyes,True,True,0,0,SnakeEyes
218,SnakeEyes,False,True,0,1,SnakeEyes
219,Labrynth,True,True,0,1,SnakeEyes
220,SnakeEyes,False,True,0,0,Labrynth
221,Tenpai,False,True,0,1,SnakeEyes
222,SnakeEyes,True,True,0,0,Tenpai
223,SnakeEyes,False,False,0,1,Labrynth2
224,Labrynth2,True,False,0,0,SnakeEyes
225,SnakeEyes,True,True,0,1,Tenpai
226,Tenpai,False,True,0,0,SnakeEyes
227,SnakeEyes,True,True,0,0,SnakeEyes
228,SnakeEyes,False,True,0,1,SnakeEyes
229,Labrynth,True,False,0,1,SnakeEyes
230,SnakeEyes,False,False,0,0,Labrynth
231,Tenpai,False,False,0,0,SnakeEyes
232,SnakeEyes,True,False,0,1,Tenpai
233,Labrynth2,False,True,0,1,SnakeEyes
234,SnakeEyes,True,True,0,0,Labrynth2
235,SnakeEyes,True,False,0,1,SnakeEyes
236,SnakeEyes,False,False,0,0,SnakeEyes
237,SnakeEyes,True,True,0,0,Tenpai
238,Tenpai,False,True,0,1,SnakeEyes
239,Labrynth2,True,True,0,0,SnakeEyes
240,SnakeEyes,False,True,0,1,Labrynth2
241,SnakeEyes,True,True,0,0,Tenpai
242,SnakeEyes,False,True,0,0,Labrynth
243,Tenpai,False,True,0,1,SnakeEyes
244,Labrynth,True,True,0,1,SnakeEyes
245,SnakeEyes,True,False,0,1,Tenpai
246,Tenpai,False,False,0,0,SnakeEyes
247,Labrynth2,False,False,0,1,SnakeEyes
248,SnakeEyes,True,False,0,0,Labrynth2
249,SnakeEyes,True,True,0,1,SnakeEyes
250,SnakeEyes,False,True,0,0,SnakeEyes
251,SnakeEyes,False,False,0,0,Labrynth
252,Tenpai,False,True,0,0,SnakeEyes
253,SnakeEyes,True,True,0,1,Tenpai
254,Labrynth,True,False,0,1,SnakeEyes
255,SnakeEyes,False,True,0,1,Labrynth2
256,Labrynth2,True,True,0,0,SnakeEyes
257,Tenpai,False,False,0,0,SnakeEyes
258,SnakeEyes,True,False,0,1,Tenpai
259,SnakeEyes,True,False,0,1,SnakeEyes
260,SnakeEyes,False,False,0,0,SnakeEyes
261,Tenpai,False,True,0,0,SnakeEyes
262,SnakeEyes,True,True,0,1,Tenpai
263,Labrynth2,False,True,0,1,SnakeEyes
264,SnakeEyes,True,True,0,0,Labrynth2
265,Labrynth,True,True,0,0,SnakeEyes
266,SnakeEyes,False,True,0,1,Labrynth
267,Labrynth2,True,False,0,1,SnakeEyes
268,SnakeEyes,False,False,0,0,Labrynth2
269,SnakeEyes,True,True,0,0,SnakeEyes
270,SnakeEyes,False,True,0,1,SnakeEyes
271,Tenpai,False,False,0,1,SnakeEyes
272,SnakeEyes,True,False,0,0,Tenpai
273,Labrynth,False,True,0,1,SnakeEyes
274,SnakeEyes,True,True,0,0,Labrynth
275,SnakeEyes,True,True,0,1,Tenpai
276,Tenpai,False,True,0,0,SnakeEyes
277,SnakeEyes,False,True,0,1,SnakeEyes
278,SnakeEyes,True,True,0,0,SnakeEyes
279,SnakeEyes,True,True,0,0,Tenpai
280,Tenpai,False,True,0,1,SnakeEyes
281,Labrynth,True,False,0,1,SnakeEyes
282,SnakeEyes,False,False,0,0,Labrynth
283,SnakeEyes,False,True,0,1,Labrynth2
284,Labrynth2,True,True,0,0,SnakeEyes
285,SnakeEyes,False,False,0,1,SnakeEyes
286,SnakeEyes,True,False,0,0,SnakeEyes
287,SnakeEyes,True,True,0,0,Labrynth2
288,Labrynth2,False,True,0,1,SnakeEyes
289,SnakeEyes,False,True,0,1,Labrynth
290,Labrynth,True,True,0,0,SnakeEyes
291,SnakeEyes,True,True,0,0,SnakeEyes
292,SnakeEyes,False,True,0,1,SnakeEyes
293,SnakeEyes,True,False,0,0,Tenpai
294,Tenpai,False,False,0,1,SnakeEyes
295,SnakeEyes,True,True,0,1,Tenpai
296,Tenpai,False,True,0,0,SnakeEyes
297,Labrynth,False,True,0,0,SnakeEyes
298,SnakeEyes,True,True,0,1,Labrynth
299,SnakeEyes,True,True,0,0,SnakeEyes
300,SnakeEyes,False,True,0,1,SnakeEyes
301,Labrynth2,True,False,0,0,SnakeEyes
302,SnakeEyes,False,False,0,1,Labrynth2
303,SnakeEyes,True,True,0,1,Tenpai
304,Tenpai,False,True,0,0,SnakeEyes
305,Tenpai,False,False,0,0,SnakeEyes
306,SnakeEyes,True,False,0,1,Tenpai
307,Labrynth2,False,True,0,0,SnakeEyes
308,SnakeEyes,True,True,0,1,Labrynth2
309,SnakeEyes,True,False,0,1,Labrynth
310,Labrynth,False,False,0,0,SnakeEyes
311,SnakeEyes,True,False,0,0,SnakeEyes
312,SnakeEyes,False,False,0,1,SnakeEyes
313,Tenpai,False,True,0,0,SnakeEyes
314,SnakeEyes,True,True,0,1,Tenpai
315,Labrynth2,False,False,0,1,SnakeEyes
316,SnakeEyes,True,False,0,0,Labrynth2
317,Tenpai,False,False,0,1,SnakeEyes
318,SnakeEyes,True,False,0,0,Tenpai
319,Labrynth,False,True,0,1,SnakeEyes
320,SnakeEyes,True,True,0,1,Tenpai
321,SnakeEyes,True,True,0,0,Labrynth
322,Tenpai,False,True,0,0,SnakeEyes
323,SnakeEyes,True,True,0,0,SnakeEyes
324,SnakeEyes,False,True,0,1,SnakeEyes
325,Tenpai,False,True,0,0,SnakeEyes
326,SnakeEyes,True,True,0,1,Tenpai
327,Labrynth2,True,True,0,0,SnakeEyes
328,SnakeEyes,False,True,0,1,Labrynth2
329,SnakeEyes,True,False,0,1,Tenpai
330,Tenpai,False,False,0,0,SnakeEyes
331,SnakeEyes,False,True,0,1,SnakeEyes
332,SnakeEyes,True,True,0,0,SnakeEyes
333,SnakeEyes,True,True,0,1,Tenpai
334,Tenpai,False,True,0,0,SnakeEyes
335,Labrynth2,False,True,0,0,SnakeEyes
336,SnakeEyes,True,True,0,1,Labrynth2
337,SnakeEyes,True,False,0,1,Tenpai
338,Tenpai,False,False,0,0,SnakeEyes
339,SnakeEyes,False,True,0,0,Labrynth
340,Labrynth,True,True,0,1,SnakeEyes
341,SnakeEyes,True,False,0,1,SnakeEyes
342,SnakeEyes,False,False,0,0,SnakeEyes
343,Tenpai,False,True,0,1,SnakeEyes
344,SnakeEyes,True,True,0,0,Tenpai
345,SnakeEyes,True,False,0,0,Labrynth2
346,Labrynth2,False,False,0,1,SnakeEyes
347,SnakeEyes,False,True,0,0,SnakeEyes
348,SnakeEyes,True,True,0,1,SnakeEyes
349,SnakeEyes,True,True,0,1,Tenpai
350,Tenpai,False,True,0,0,SnakeEyes
351,SnakeEyes,True,False,0,0,Runick2
352,Runick2,False,False,0,1,SnakeEyes
353,Runick,True,False,0,0,SnakeEyes
354,SnakeEyes,False,False,0,1,Runick
355,Branded,True,False,0,1,SnakeEyes
356,SnakeEyes,False,False,0,0,Branded
357,SnakeEyes,True,False,0,1,Runick3
358,Runick3,False,False,0,0,SnakeEyes
359,Branded,True,True,0,0,SnakeEyes
360,SnakeEyes,False,True,0,1,Branded
361,Runick3,False,True,0,0,SnakeEyes
362,SnakeEyes,True,True,0,1,Runick3
363,SnakeEyes,True,True,0,1,Runick
364,Runick,False,True,0,0,SnakeEyes
365,SnakeEyes,False,True,0,1,Runick2
366,Runick2,True,True,0,0,SnakeEyes
367,Branded,False,True,0,0,SnakeEyes
368,SnakeEyes,True,True,0,1,Branded
369,SnakeEyes,True,True,0,0,Runick2
370,Runick2,False,True,0,1,SnakeEyes
371,Runick,False,False,0,0,SnakeEyes
372,SnakeEyes,True,False,0,1,Runick
373,Runick3,False,False,0,1,SnakeEyes
374,SnakeEyes,True,False,0,0,Runick3
375,SnakeEyes,False,False,0,0,Runick2
376,Runick2,True,False,0,1,SnakeEyes
377,SnakeEyes,True,True,0,1,Runick
378,Runick,False,True,0,0,SnakeEyes
379,SnakeEyes,True,False,0,1,Branded
380,Branded,False,False,0,0,SnakeEyes
381,SnakeEyes,False,True,0,0,Runick3
382,Runick3,True,True,0,1,SnakeEyes
383,Runick,False,False,0,1,SnakeEyes
384,SnakeEyes,True,False,0,0,Runick
385,SnakeEyes,True,True,0,0,Branded
386,Branded,False,True,0,1,SnakeEyes
387,SnakeEyes,False,True,0,1,Runick2
388,Runick2,True,True,0,0,SnakeEyes
389,Runick3,True,False,0,0,SnakeEyes
390,SnakeEyes,False,False,0,1,Runick3
391,SnakeEyes,False,True,0,0,Branded
392,Branded,True,True,0,1,SnakeEyes
393,Runick,True,True,0,1,SnakeEyes
394,SnakeEyes,False,True,0,0,Runick
395,SnakeEyes,True,True,0,0,Runick2
396,Runick2,False,True,0,1,SnakeEyes
397,SnakeEyes,True,True,0,1,Runick3
398,Runick3,False,True,0,0,SnakeEyes
399,Branded,True,False,0,1,SnakeEyes
400,SnakeEyes,False,False,0,0,Branded
401,Runick,True,False,0,0,SnakeEyes
402,SnakeEyes,False,False,0,1,Runick
403,Runick2,True,False,0,0,SnakeEyes
404,SnakeEyes,False,False,0,1,Runick2
405,SnakeEyes,False,True,0,0,Branded
406,Branded,True,True,0,1,SnakeEyes
407,SnakeEyes,True,True,0,1,Runick2
408,Runick2,False,True,0,0,SnakeEyes
409,Runick3,False,False,0,0,SnakeEyes
410,SnakeEyes,True,False,0,1,Runick3
411,Runick,False,True,0,0,SnakeEyes
412,SnakeEyes,True,True,0,1,Runick
413,SnakeEyes,False,False,0,0,Branded
414,Branded,True,False,0,1,SnakeEyes
415,SnakeEyes,True,True,0,0,Runick3
416,Runick3,False,True,0,1,SnakeEyes
417,SnakeEyes,False,True,0,0,Runick3
418,Runick3,True,True,0,1,SnakeEyes
419,Runick,False,False,0,0,SnakeEyes
420,SnakeEyes,True,False,0,1,Runick
421,SnakeEyes,True,False,0,1,Runick2
422,Runick2,False,False,0,0,SnakeEyes
423,Branded,True,True,0,1,SnakeEyes
424,SnakeEyes,False,True,0,0,Branded
425,SnakeEyes,False,False,0,0,Runick3
426,Runick3,True,False,0,1,SnakeEyes
427,Runick2,False,True,0,0,SnakeEyes
428,SnakeEyes,True,True,0,1,Runick2
429,SnakeEyes,False,False,0,0,Branded
430,Branded,True,False,0,1,SnakeEyes
431,SnakeEyes,True,True,0,1,Runick
432,Runick,False,True,0,0,SnakeEyes
433,Runick2,False,False,0,1,SnakeEyes
434,SnakeEyes,True,False,0,0,Runick2
435,SnakeEyes,False,True,0,0,Branded
436,Branded,True,True,0,1,SnakeEyes
437,SnakeEyes,True,False,0,1,Runick
438,Runick,False,False,0,0,SnakeEyes
439,Runick3,True,True,0,0,SnakeEyes
440,SnakeEyes,False,True,0,1,Runick3
441,SnakeEyes,False,True,0,1,Runick2
442,Runick2,True,True,0,0,SnakeEyes
443,Branded,True,False,0,1,SnakeEyes
444,SnakeEyes,False,False,0,0,Branded
445,SnakeEyes,True,True,0,0,Runick
446,Runick,False,True,0,1,SnakeEyes
447,Runick2,False,True,0,1,SnakeEyes
448,SnakeEyes,True,True,0,0,Runick2
449,SnakeEyes,True,True,0,1,Runick3
450,Runick3,False,True,0,0,SnakeEyes
451,Branded,True,True,0,1,SnakeEyes
452,SnakeEyes,False,True,0,0,Branded
453,SnakeEyes,False,True,0,0,Runick
454,Runick,True,True,0,1,SnakeEyes
455,Runick2,True,False,0,0,SnakeEyes
456,SnakeEyes,False,False,0,1,Runick2
457,SnakeEyes,False,False,0,1,Branded
458,Runick,True,False,0,1,SnakeEyes
459,SnakeEyes,False,False,0,0,Runick
460,Branded,True,False,0,0,SnakeEyes
461,SnakeEyes,True,False,0,1,Runick3
462,Runick3,False,False,0,0,SnakeEyes
463,Runick,True,True,0,1,SnakeEyes
464,SnakeEyes,False,True,0,0,Runick
465,Runick2,False,True,0,0,SnakeEyes
466,SnakeEyes,True,True,0,1,Runick2
467,SnakeEyes,True,True,0,0,Runick3
468,Runick3,False,True,0,1,SnakeEyes
469,Branded,False,True,0,1,SnakeEyes
470,SnakeEyes,True,True,0,0,Branded
471,Runick3,True,True,0,0,SnakeEyes
472,SnakeEyes,False,True,0,1,Runick3
473,SnakeEyes,True,False,0,1,Runick2
474,Runick2,False,False,0,0,SnakeEyes
475,SnakeEyes,False,True,0,0,Branded
476,Branded,True,True,0,1,SnakeEyes
477,SnakeEyes,True,False,0,0,Runick3
478,Runick3,False,False,0,1,SnakeEyes
479,Runick2,False,True,0,0,SnakeEyes
480,SnakeEyes,True,True,0,1,Runick2
481,Runick,True,False,0,0,SnakeEyes
482,SnakeEyes,False,False,0,1,Runick
483,Branded,True,False,0,1,SnakeEyes
484,SnakeEyes,False,False,0,0,Branded
485,SnakeEyes,True,True,0,0,Runick
486,Runick,False,True,0,1,SnakeEyes
487,Runick3,True,True,0,0,SnakeEyes
488,SnakeEyes,False,True,0,1,Runick3
489,SnakeEyes,False,True,0,0,Branded
490,Branded,True,True,0,1,SnakeEyes
491,Runick2,False,False,0,0,SnakeEyes
492,SnakeEyes,True,False,0,1,Runick2
493,SnakeEyes,True,True,0,0,Runick3
494,Runick3,False,True,0,1,SnakeEyes
495,SnakeEyes,False,True,0,1,Runick
496,Runick,True,True,0,0,SnakeEyes
497,Runick2,False,True,0,0,SnakeEyes
498,SnakeEyes,True,True,0,1,Runick2
499,SnakeEyes,False,False,0,0,Branded
500,Branded,True,False,0,1,SnakeEyes
501,SnakeEyes,False,False,0,0,Runick3
502,Runick3,True,False,0,1,SnakeEyes
503,Runick2,False,False,0,1,SnakeEyes
504,SnakeEyes,True,False,0,0,Runick2
505,SnakeEyes,False,True,0,0,Branded
506,Branded,True,True,0,1,SnakeEyes
507,SnakeEyes,False,True,0,0,Runick3
508,Runick3,True,True,0,1,SnakeEyes
509,SnakeEyes,True,False,0,1,Runick
510,Runick,False,False,0,0,SnakeEyes
511,Runick2,True,True,0,0,SnakeEyes
512,SnakeEyes,False,True,0,1,Runick2
513,SnakeEyes,False,False,0,1,Branded
514,Branded,True,False,0,0,SnakeEyes
515,Runick,False,True,0,0,SnakeEyes
516,SnakeEyes,True,True,0,1,Runick
517,Runick2,False,True,0,0,SnakeEyes
518,SnakeEyes,True,True,0,1,Runick2
519,SnakeEyes,True,False,0,1,Runick
520,Runick,False,False,0,0,SnakeEyes
521,Branded,False,True,0,1,SnakeEyes
522,SnakeEyes,False,False,0,0,Runick3
523,Runick3,True,False,0,1,SnakeEyes
524,SnakeEyes,True,True,0,0,Branded
525,SnakeEyes,True,False,0,1,Runick2
526,Runick2,False,False,0,0,SnakeEyes
527,Runick3,True,True,0,1,SnakeEyes
528,SnakeEyes,False,True,0,0,Runick3
529,SnakeEyes,True,True,0,1,Runick
530,Runick,False,True,0,0,SnakeEyes
531,Runick2,False,True,0,0,SnakeEyes
532,SnakeEyes,True,True,0,1,Runick2
533,SnakeEyes,False,True,0,0,Branded
534,Branded,True,True,0,1,SnakeEyes
535,SnakeEyes,False,False,0,0,Runick3
536,Runick3,True,False,0,1,SnakeEyes
537,Runick,False,False,0,0,SnakeEyes
538,SnakeEyes,True,False,0,1,Runick
539,SnakeEyes,True,False,0,0,Runick2
540,Runick2,False,False,0,1,SnakeEyes
541,Runick2,True,True,0,1,SnakeEyes
542,SnakeEyes,False,True,0,0,Runick2
543,SnakeEyes,False,False,0,0,Branded
544,Branded,True,False,0,1,SnakeEyes
545,Runick,False,True,0,0,SnakeEyes
546,SnakeEyes,True,True,0,1,Runick
547,Runick3,True,True,0,1,SnakeEyes
548,SnakeEyes,False,True,0,0,Runick3
549,Branded,True,True,0,1,SnakeEyes
550,SnakeEyes,False,True,0,0,Branded
551,SnakeEyes,False,False,0,0,Runick3
552,Runick3,True,False,0,1,SnakeEyes
553,Runick,False,False,0,0,SnakeEyes
554,SnakeEyes,True,False,0,1,Runick
555,Branded,True,False,0,0,SnakeEyes
556,SnakeEyes,False,False,0,1,Branded
557,SnakeEyes,False,False,0,1,Runick2
558,Runick2,True,False,0,0,SnakeEyes
559,Runick3,True,True,0,1,SnakeEyes
560,SnakeEyes,False,True,0,0,Runick3
561,SnakeEyes,True,True,0,0,Runick2
562,Runick2,False,True,0,1,SnakeEyes
563,Runick,False,True,0,0,SnakeEyes
564,SnakeEyes,True,True,0,1,Runick
565,SnakeEyes,True,True,0,0,Branded
566,Branded,False,True,0,1,SnakeEyes
567,SnakeEyes,True,False,0,0,Runick
568,Runick,False,False,0,1,SnakeEyes
569,Runick3,True,False,0,0,SnakeEyes
570,SnakeEyes,False,False,0,1,Runick3
571,SnakeEyes,False,True,0,0,Branded
572,Branded,True,True,0,1,SnakeEyes
573,SnakeEyes,False,True,0,0,Runick2
574,Runick2,True,True,0,1,SnakeEyes
575,SnakeEyes,False,True,0,0,Runick
576,Runick,True,True,0,1,SnakeEyes
577,Runick3,False,True,0,1,SnakeEyes
578,SnakeEyes,True,True,0,0,Runick3
579,SnakeEyes,False,False,0,0,Runick2
580,Runick2,True,False,0,1,SnakeEyes
581,Runick,True,False,0,0,SnakeEyes
582,SnakeEyes,False,False,0,1,Runick
583,SnakeEyes,False,True,0,0,Runick3
584,Runick3,True,True,0,1,SnakeEyes
585,Branded,True,False,0,1,SnakeEyes
